Distr,REGION,GRDSPAN,CAMPUS,GRDTYPE,C_RATING,DISTRICT,School_Name,District_Name,CNTYNAME,CFLCHART,CFLALTED
'001,'07,'09 - 12,'001902001,S,A,'001902,CAYUGA H S,CAYUGA ISD,ANDERSON,N,N
'001,'07,'06 - 08,'001902041,M,B,'001902,CAYUGA MIDDLE,CAYUGA ISD,ANDERSON,N,N
'001,'07,'KG - 05,'001902103,E,A,'001902,CAYUGA EL,CAYUGA ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001903001,S,B,'001903,ELKHART H S,ELKHART ISD,ANDERSON,N,N
'001,'07,'06 - 08,'001903041,M,B,'001903,ELKHART MIDDLE,ELKHART ISD,ANDERSON,N,N
'001,'07,'PK - 02,'001903101,E,A,'001903,ELKHART EL,ELKHART ISD,ANDERSON,N,N
'001,'07,'03 - 05,'001903102,E,A,'001903,ELKHART INT,ELKHART ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001904001,S,A,'001904,FRANKSTON H S,FRANKSTON ISD,ANDERSON,N,N
'001,'07,'06 - 08,'001904041,M,C,'001904,FRANKSTON MIDDLE,FRANKSTON ISD,ANDERSON,N,N
'001,'07,'PK - 05,'001904102,E,A,'001904,FRANKSTON EL,FRANKSTON ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001906002,S,A,'001906,NECHES H S,NECHES ISD,ANDERSON,N,N
'001,'07,'PK - 08,'001906102,E,A,'001906,NECHES EL,NECHES ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001907001,S,B,'001907,PALESTINE H S,PALESTINE ISD,ANDERSON,N,N
'001,'07,'07 - 08,'001907041,M,B,'001907,PALESTINE J H,PALESTINE ISD,ANDERSON,N,N
'001,'07,'KG - 01,'001907101,E,C,'001907,NORTHSIDE PRI,PALESTINE ISD,ANDERSON,N,N
'001,'07,'PK - PK,'001907102,E,C,'001907,WASHINGTON EARLY CHILDHOOD CENTER,PALESTINE ISD,ANDERSON,N,N
'001,'07,'02 - 03,'001907107,E,C,'001907,SOUTHSIDE EL,PALESTINE ISD,ANDERSON,N,N
'001,'07,'04 - 06,'001907110,E,B,'001907,STORY INT,PALESTINE ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001908002,S,B,'001908,WESTWOOD H S,WESTWOOD ISD,ANDERSON,N,N
'001,'07,'07 - 08,'001908041,M,C,'001908,WESTWOOD J H,WESTWOOD ISD,ANDERSON,N,N
'001,'07,'03 - 06,'001908101,E,B,'001908,WESTWOOD EL,WESTWOOD ISD,ANDERSON,N,N
'001,'07,'EE - 02,'001908102,E,B,'001908,WESTWOOD PRI,WESTWOOD ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001909001,S,A,'001909,SLOCUM H S,SLOCUM ISD,ANDERSON,N,N
'001,'07,'PK - 08,'001909101,E,B,'001909,SLOCUM PK - 8,SLOCUM ISD,ANDERSON,N,N
'002,'18,'09 - 12,'002901001,S,B,'002901,ANDREWS H S,ANDREWS ISD,ANDREWS,N,N
'002,'18,'09 - 12,'002901002,S,C,'002901,ANDREWS EDUCATION CENTER,ANDREWS ISD,ANDREWS,N,Y
'002,'18,'06 - 08,'002901041,M,B,'002901,ANDREWS MIDDLE,ANDREWS ISD,ANDREWS,N,N
'002,'18,'02 - 03,'002901101,E,C,'002901,DEVONIAN EL,ANDREWS ISD,ANDREWS,N,N
'002,'18,'04 - 05,'002901104,E,C,'002901,UNDERWOOD EL,ANDREWS ISD,ANDREWS,N,N
'002,'18,'EE - 01,'002901105,E,C,'002901,CLEARFORK EL,ANDREWS ISD,ANDREWS,N,N
'003,'07,'09 - 12,'003801001,S,A,'003801,PINEYWOODS COMMUNITY ACADEMY H S,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,Y,N
'003,'07,'10 - 11,'003801002,S,Not Rated,'003801,PINEYWOOD COMMUNITY ACADEMY - LIVINGSTON,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,Y,N
'003,'07,'06 - 08,'003801042,M,B,'003801,DR TERRY ROBBINS MIDDLE,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,Y,N
'003,'07,'PK - 05,'003801103,E,A,'003801,SARAH STRINDEN EL,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,Y,N
'003,'07,'09 - 12,'003902001,S,A,'003902,HUDSON H S,HUDSON ISD,ANGELINA,N,N
'003,'07,'10 - 12,'003902004,S,Not Rated,'003902,STUBBLEFIELD LRN CTR,HUDSON ISD,ANGELINA,N,Y
'003,'07,'06 - 08,'003902041,M,B,'003902,HUDSON MIDDLE,HUDSON ISD,ANGELINA,N,N
'003,'07,'EE - 02,'003902101,E,B,'003902,W F PEAVY PRI,HUDSON ISD,ANGELINA,N,N
'003,'07,'03 - 05,'003902102,E,B,'003902,W H BONNER EL,HUDSON ISD,ANGELINA,N,N
'003,'07,'09 - 12,'003903001,S,B,'003903,LUFKIN H S,LUFKIN ISD,ANGELINA,N,N
'003,'07,'09 - 12,'003903004,S,Not Rated: Senate Bill 1365,'003903,STUBBLEFIELD LRN CTR,LUFKIN ISD,ANGELINA,N,Y
'003,'07,'06 - 08,'003903044,M,B,'003903,LUFKIN MIDDLE,LUFKIN ISD,ANGELINA,N,N
'003,'07,'03 - 05,'003903120,E,A,'003903,ANDERSON EL,LUFKIN ISD,ANGELINA,N,N
'003,'07,'03 - 05,'003903121,E,B,'003903,BRANDON EL,LUFKIN ISD,ANGELINA,N,N
'003,'07,'03 - 05,'003903122,E,Not Rated: Senate Bill 1365,'003903,BROOKHOLLOW EL,LUFKIN ISD,ANGELINA,N,N
'003,'07,'03 - 05,'003903123,E,B,'003903,COSTON EL,LUFKIN ISD,ANGELINA,N,N
'003,'07,'KG - 02,'003903124,E,B,'003903,DUNBAR PRI,LUFKIN ISD,ANGELINA,N,N
'003,'07,'PK - PK,'003903125,E,B,'003903,GARRETT PRI,LUFKIN ISD,ANGELINA,N,N
'003,'07,'PK - PK,'003903126,E,B,'003903,HACKNEY PRI,LUFKIN ISD,ANGELINA,N,N
'003,'07,'EE - 02,'003903127,E,B,'003903,HERTY PRI,LUFKIN ISD,ANGELINA,N,N
'003,'07,'KG - 02,'003903128,E,A,'003903,KURTH PRI,LUFKIN ISD,ANGELINA,N,N
'003,'07,'02 - 05,'003903129,E,B,'003903,SLACK EL,LUFKIN ISD,ANGELINA,N,N
'003,'07,'EE - 02,'003903130,E,Not Rated: Senate Bill 1365,'003903,TROUT PRI,LUFKIN ISD,ANGELINA,N,N
'003,'07,'KG - 02,'003903131,E,B,'003903,BURLEY PRI,LUFKIN ISD,ANGELINA,N,N
'003,'07,'EE - EE,'003903141,E,Not Rated,'003903,SPECIAL SERVICES,LUFKIN ISD,ANGELINA,N,N
'003,'07,'07 - 11,'003903201,S,Not Rated,'003903,JUVENILE DETENT CTR,LUFKIN ISD,ANGELINA,N,Y
'003,'07,'09 - 12,'003904001,S,B,'003904,HUNTINGTON H S,HUNTINGTON ISD,ANGELINA,N,N
'003,'07,'11 - 12,'003904005,S,B,'003904,PRIDE ALTER SCH,HUNTINGTON ISD,ANGELINA,N,Y
'003,'07,'06 - 08,'003904041,M,B,'003904,HUNTINGTON MIDDLE,HUNTINGTON ISD,ANGELINA,N,N
'003,'07,'EE - 03,'003904101,E,C,'003904,HUNTINGTON EL,HUNTINGTON ISD,ANGELINA,N,N
'003,'07,'04 - 05,'003904102,E,C,'003904,HUNTINGTON INT,HUNTINGTON ISD,ANGELINA,N,N
'003,'07,'09 - 12,'003905001,S,B,'003905,DIBOLL H S,DIBOLL ISD,ANGELINA,N,N
'003,'07,'10 - 12,'003905004,S,C,'003905,STUBBLEFIELD LRN CTR,DIBOLL ISD,ANGELINA,N,Y
'003,'07,'06 - 08,'003905041,M,C,'003905,DIBOLL J H,DIBOLL ISD,ANGELINA,N,N
'003,'07,'KG - 02,'003905101,E,B,'003905,H G TEMPLE EL,DIBOLL ISD,ANGELINA,N,N
'003,'07,'PK - PK,'003905102,E,B,'003905,DIBOLL PRI,DIBOLL ISD,ANGELINA,N,N
'003,'07,'03 - 05,'003905103,E,B,'003905,H G TEMPLE INT,DIBOLL ISD,ANGELINA,N,N
'003,'07,'06 - 12,'003906001,B,B,'003906,ZAVALLA H S,ZAVALLA ISD,ANGELINA,N,N
'003,'07,'PK - 05,'003906101,E,C,'003906,ZAVALLA EL,ZAVALLA ISD,ANGELINA,N,N
'003,'07,'09 - 12,'003907001,S,B,'003907,CENTRAL H S,CENTRAL ISD,ANGELINA,N,N
'003,'07,'09 - 12,'003907004,S,Not Rated,'003907,STUBBLEFIELD LRN CTR,CENTRAL ISD,ANGELINA,N,Y
'003,'07,'05 - 08,'003907041,M,B,'003907,CENTRAL J H,CENTRAL ISD,ANGELINA,N,N
'003,'07,'EE - 04,'003907102,E,B,'003907,CENTRAL EL,CENTRAL ISD,ANGELINA,N,N
'004,'02,'09 - 12,'004901001,S,B,'004901,ROCKPORT-FULTON H S,ARANSAS COUNTY ISD,ARANSAS,N,N
'004,'02,'06 - 08,'004901041,M,C,'004901,ROCKPORT-FULTON MIDDLE,ARANSAS COUNTY ISD,ARANSAS,N,N
'004,'02,'03 - 05,'004901101,E,Not Rated: Senate Bill 1365,'004901,FULTON LEARNING CENTER,ARANSAS COUNTY ISD,ARANSAS,N,N
'004,'02,'EE - 02,'004901103,E,Not Rated: Senate Bill 1365,'004901,LIVE OAK LEARNING CENTER,ARANSAS COUNTY ISD,ARANSAS,N,N
'005,'09,'07 - 12,'005901001,S,A,'005901,ARCHER CITY H S,ARCHER CITY ISD,ARCHER,N,N
'005,'09,'PK - 06,'005901101,E,A,'005901,ARCHER CITY EL,ARCHER CITY ISD,ARCHER,N,N
'005,'09,'09 - 12,'005902001,S,A,'005902,HOLLIDAY H S,HOLLIDAY ISD,ARCHER,N,N
'005,'09,'06 - 08,'005902041,M,B,'005902,HOLLIDAY MIDDLE,HOLLIDAY ISD,ARCHER,N,N
'005,'09,'PK - 05,'005902101,E,A,'005902,HOLLIDAY EL,HOLLIDAY ISD,ARCHER,N,N
'005,'09,'09 - 12,'005904001,S,A,'005904,WINDTHORST H S,WINDTHORST ISD,ARCHER,N,N
'005,'09,'06 - 08,'005904041,M,B,'005904,WINDTHORST JH,WINDTHORST ISD,ARCHER,N,N
'005,'09,'PK - 05,'005904101,E,A,'005904,WINDTHORST EL,WINDTHORST ISD,ARCHER,N,N
'006,'16,'PK - 12,'006902001,B,A,'006902,CLAUDE SCHOOLS,CLAUDE ISD,ARMSTRONG,N,N
'007,'20,'09 - 12,'007901001,S,B,'007901,CHARLOTTE H S,CHARLOTTE ISD,ATASCOSA,N,N
'007,'20,'06 - 08,'007901041,M,Not Rated: Senate Bill 1365,'007901,CHARLOTTE MIDDLE,CHARLOTTE ISD,ATASCOSA,N,N
'007,'20,'PK - 05,'007901101,E,A,'007901,CHARLOTTE EL,CHARLOTTE ISD,ATASCOSA,N,N
'007,'20,'09 - 12,'007902001,S,B,'007902,JOURDANTON H S,JOURDANTON ISD,ATASCOSA,N,N
'007,'20,'10 - 10,'007902004,S,Not Rated,'007902,THE LARRY BROWN SCHOOL,JOURDANTON ISD,ATASCOSA,N,N
'007,'20,'08 - 10,'007902005,S,Not Rated,'007902,ATASCOSA COUNTY JUVENILE JUSTICE CENTER,JOURDANTON ISD,ATASCOSA,N,Y
'007,'20,'06 - 12,'007902006,B,Not Rated,'007902,JOURDANTON DAEP,JOURDANTON ISD,ATASCOSA,N,N
'007,'20,'06 - 08,'007902041,M,A,'007902,JOURDANTON J H,JOURDANTON ISD,ATASCOSA,N,N
'007,'20,'02 - 05,'007902101,E,C,'007902,JOURDANTON EL,JOURDANTON ISD,ATASCOSA,N,N
'007,'20,'EE - 01,'007902102,E,C,'007902,JOURDANTON ECC,JOURDANTON ISD,ATASCOSA,N,N
'007,'20,'09 - 12,'007904001,S,B,'007904,LYTLE H S,LYTLE ISD,ATASCOSA,N,N
'007,'20,'06 - 11,'007904002,B,Not Rated,'007904,LYTLE DAEP,LYTLE ISD,ATASCOSA,N,N
'007,'20,'06 - 08,'007904041,M,C,'007904,LYTLE J H,LYTLE ISD,ATASCOSA,N,N
'007,'20,'02 - 05,'007904101,E,C,'007904,LYTLE EL,LYTLE ISD,ATASCOSA,N,N
'007,'20,'EE - 01,'007904103,E,C,'007904,LYTLE PRIMARY SCHOOL,LYTLE ISD,ATASCOSA,N,N
'007,'20,'09 - 12,'007905001,S,B,'007905,PLEASANTON H S,PLEASANTON ISD,ATASCOSA,N,N
'007,'20,'09 - 11,'007905004,S,Not Rated,'007905,ATASCOSA CO ALTER,PLEASANTON ISD,ATASCOSA,N,N
'007,'20,'10 - 12,'007905005,S,B,'007905,PLEASANTON ISD SCHOOL OF CHOICE,PLEASANTON ISD,ATASCOSA,N,Y
'007,'20,'06 - 08,'007905041,M,B,'007905,PLEASANTON J H,PLEASANTON ISD,ATASCOSA,N,N
'007,'20,'02 - 05,'007905103,E,C,'007905,PLEASANTON EL,PLEASANTON ISD,ATASCOSA,N,N
'007,'20,'EE - 01,'007905105,E,C,'007905,PLEASANTON PRI,PLEASANTON ISD,ATASCOSA,N,N
'007,'20,'09 - 12,'007906001,S,C,'007906,POTEET H S,POTEET ISD,ATASCOSA,N,N
'007,'20,'06 - 08,'007906041,M,C,'007906,POTEET J H,POTEET ISD,ATASCOSA,N,N
'007,'20,'EE - 03,'007906101,E,Not Rated: Senate Bill 1365,'007906,POTEET EL,POTEET ISD,ATASCOSA,N,N
'007,'20,'04 - 05,'007906102,E,B,'007906,POTEET INT,POTEET ISD,ATASCOSA,N,N
'008,'06,'09 - 12,'008901001,S,C,'008901,BELLVILLE H S,BELLVILLE ISD,AUSTIN,N,N
'008,'06,'06 - 08,'008901041,M,C,'008901,BELLVILLE J H,BELLVILLE ISD,AUSTIN,N,N
'008,'06,'EE - 03,'008901101,E,Not Rated: Senate Bill 1365,'008901,O'BRYANT PRI,BELLVILLE ISD,AUSTIN,N,N
'008,'06,'04 - 05,'008901102,E,Not Rated: Senate Bill 1365,'008901,O'BRYANT INT,BELLVILLE ISD,AUSTIN,N,N
'008,'06,'KG - 05,'008901105,E,C,'008901,WEST END EL,BELLVILLE ISD,AUSTIN,N,N
'008,'06,'09 - 12,'008902001,S,B,'008902,SEALY H S,SEALY ISD,AUSTIN,N,N
'008,'06,'06 - 08,'008902041,M,C,'008902,SEALY J H,SEALY ISD,AUSTIN,N,N
'008,'06,'EE - 05,'008902102,E,Not Rated: Senate Bill 1365,'008902,SELMAN EL,SEALY ISD,AUSTIN,N,N
'008,'06,'EE - 05,'008902104,E,B,'008902,SEALY EL,SEALY ISD,AUSTIN,N,N
'008,'06,'09 - 12,'008903001,S,B,'008903,BRAZOS H S,BRAZOS ISD,AUSTIN,N,N
'008,'06,'06 - 08,'008903041,M,A,'008903,BRAZOS MIDDLE,BRAZOS ISD,AUSTIN,N,N
'008,'06,'EE - 05,'008903102,E,B,'008903,BRAZOS EL,BRAZOS ISD,AUSTIN,N,N
'009,'17,'09 - 12,'009901001,S,A,'009901,MULESHOE H S,MULESHOE ISD,BAILEY,N,N
'009,'17,'06 - 08,'009901041,M,C,'009901,WATSON J H,MULESHOE ISD,BAILEY,N,N
'009,'17,'03 - 05,'009901101,E,C,'009901,MARY DESHAZO EL,MULESHOE ISD,BAILEY,N,N
'009,'17,'EE - 02,'009901103,E,C,'009901,DILLMAN EL,MULESHOE ISD,BAILEY,N,N
'010,'20,'PK - 12,'010901001,B,C,'010901,MEDINA SCHOOL,MEDINA ISD,BANDERA,N,N
'010,'20,'09 - 12,'010902001,S,Not Rated: Senate Bill 1365,'010902,BANDERA H S,BANDERA ISD,BANDERA,N,N
'010,'20,'06 - 08,'010902041,M,C,'010902,BANDERA MIDDLE,BANDERA ISD,BANDERA,N,N
'010,'20,'EE - 05,'010902101,E,Not Rated: Senate Bill 1365,'010902,ALKEK EL,BANDERA ISD,BANDERA,N,N
'010,'20,'EE - 05,'010902102,E,C,'010902,HILL COUNTRY EL,BANDERA ISD,BANDERA,N,N
'011,'13,'09 - 12,'011901001,S,C,'011901,BASTROP H S,BASTROP ISD,BASTROP,N,N
'011,'13,'09 - 12,'011901002,S,C,'011901,CEDAR CREEK H S,BASTROP ISD,BASTROP,N,N
'011,'13,'09 - 12,'011901005,S,A,'011901,COLORADO RIVER COLLEGIATE ACADEMY,BASTROP ISD,BASTROP,N,N
'011,'13,'09 - 12,'011901022,S,C,'011901,GENESIS H S,BASTROP ISD,BASTROP,N,Y
'011,'13,'07 - 08,'011901041,M,C,'011901,BASTROP MIDDLE,BASTROP ISD,BASTROP,N,N
'011,'13,'PK - 04,'011901101,E,C,'011901,EMILE EL,BASTROP ISD,BASTROP,N,N
'011,'13,'EE - 04,'011901102,E,B,'011901,MINA EL,BASTROP ISD,BASTROP,N,N
'011,'13,'PK - 04,'011901103,E,C,'011901,CEDAR CREEK EL,BASTROP ISD,BASTROP,N,N
'011,'13,'05 - 06,'011901104,M,C,'011901,BASTROP INT,BASTROP ISD,BASTROP,N,N
'011,'13,'07 - 08,'011901106,M,C,'011901,CEDAR CREEK MIDDLE,BASTROP ISD,BASTROP,N,N
'011,'13,'EE - 04,'011901107,E,B,'011901,RED ROCK EL,BASTROP ISD,BASTROP,N,N
'011,'13,'05 - 06,'011901108,M,Not Rated: Senate Bill 1365,'011901,CEDAR CREEK INT,BASTROP ISD,BASTROP,N,N
'011,'13,'PK - 04,'011901109,E,Not Rated: Senate Bill 1365,'011901,BLUEBONNET EL,BASTROP ISD,BASTROP,N,N
'011,'13,'EE - 04,'011901110,E,C,'011901,LOST PINES EL,BASTROP ISD,BASTROP,N,N
'011,'13,'09 - 12,'011902001,S,C,'011902,ELGIN H S,ELGIN ISD,BASTROP,N,N
'011,'13,'11 - 11,'011902003,S,Not Rated,'011902,BASTROP COUNTY JUVENILE BOOT CAMP,ELGIN ISD,BASTROP,N,N
'011,'13,'10 - 12,'011902004,S,B,'011902,PHOENIX H S,ELGIN ISD,BASTROP,N,Y
'011,'13,'07 - 08,'011902041,M,C,'011902,ELGIN MIDDLE,ELGIN ISD,BASTROP,N,N
'011,'13,'05 - 06,'011902042,M,C,'011902,ELGIN INT,ELGIN ISD,BASTROP,N,N
'011,'13,'KG - 04,'011902101,E,Not Rated: Senate Bill 1365,'011902,BOOKER T WASHINGTON EL,ELGIN ISD,BASTROP,N,N
'011,'13,'EE - 04,'011902102,E,Not Rated: Senate Bill 1365,'011902,ELGIN EL,ELGIN ISD,BASTROP,N,N
'011,'13,'KG - 04,'011902103,E,Not Rated: Senate Bill 1365,'011902,NEIDIG EL,ELGIN ISD,BASTROP,N,N
'011,'13,'09 - 12,'011904002,S,C,'011904,SMITHVILLE H S,SMITHVILLE ISD,BASTROP,N,N
'011,'13,'06 - 08,'011904041,M,C,'011904,SMITHVILLE J H,SMITHVILLE ISD,BASTROP,N,N
'011,'13,'01 - 05,'011904101,E,C,'011904,SMITHVILLE EL,SMITHVILLE ISD,BASTROP,N,N
'011,'13,'EE - KG,'011904102,E,C,'011904,BROWN PRI,SMITHVILLE ISD,BASTROP,N,N
'011,'13,'07 - 12,'011905001,S,B,'011905,MCDADE H S,MCDADE ISD,BASTROP,N,N
'011,'13,'PK - 06,'011905101,E,Not Rated: Senate Bill 1365,'011905,MCDADE EL,MCDADE ISD,BASTROP,N,N
'012,'09,'09 - 12,'012901001,S,A,'012901,SEYMOUR H S,SEYMOUR ISD,BAYLOR,N,N
'012,'09,'05 - 08,'012901042,M,A,'012901,SEYMOUR MIDDLE,SEYMOUR ISD,BAYLOR,N,N
'012,'09,'EE - 04,'012901101,E,A,'012901,SEYMOUR EL,SEYMOUR ISD,BAYLOR,N,N
'013,'02,'KG - 06,'013801101,E,B,'013801,ST MARY'S ACADEMY CHARTER SCHOOL,ST MARY'S ACADEMY CHARTER SCHOOL,BEE,Y,N
'013,'02,'09 - 12,'013901001,S,B,'013901,A C JONES H S,BEEVILLE ISD,BEE,N,N
'013,'02,'06 - 08,'013901041,M,C,'013901,MORENO J H,BEEVILLE ISD,BEE,N,N
'013,'02,'01 - 05,'013901101,E,B,'013901,R A HALL EL,BEEVILLE ISD,BEE,N,N
'013,'02,'01 - 05,'013901102,E,B,'013901,FADDEN-MCKEOWN-CHAMBLISS EL,BEEVILLE ISD,BEE,N,N
'013,'02,'EE - KG,'013901105,E,B,'013901,HAMPTON-MORENO-DUGAT EARLY CHILDHOOD CENTER,BEEVILLE ISD,BEE,N,N
'013,'02,'PK - 08,'013902101,E,B,'013902,PAWNEE EL / J H,PAWNEE ISD,BEE,N,N
'013,'02,'06 - 12,'013903001,B,B,'013903,PETTUS SECONDARY,PETTUS ISD,BEE,N,N
'013,'02,'PK - 05,'013903101,E,C,'013903,PETTUS EL,PETTUS ISD,BEE,N,N
'013,'02,'09 - 12,'013905001,S,A,'013905,SKIDMORE-TYNAN H S,SKIDMORE-TYNAN ISD,BEE,N,N
'013,'02,'06 - 08,'013905041,M,B,'013905,SKIDMORE-TYNAN J H,SKIDMORE-TYNAN ISD,BEE,N,N
'013,'02,'PK - 05,'013905101,E,A,'013905,SKIDMORE-TYNAN EL,SKIDMORE-TYNAN ISD,BEE,N,N
'014,'20,'09 - 12,'014801001,S,Not Rated: Senate Bill 1365,'014801,RICHARD MILBURN ALTER H S (KILLEEN),RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,BELL,Y,Y
'014,'20,'09 - 12,'014801002,S,Not Rated: Senate Bill 1365,'014801,RICHARD MILBURN ACADEMY ODESSA,RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,BELL,Y,Y
'014,'20,'09 - 12,'014801004,S,Not Rated: Senate Bill 1365,'014801,RICHARD MILBURN ACADEMY LUBBOCK,RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,BELL,Y,Y
'014,'20,'09 - 12,'014801005,S,Not Rated: Senate Bill 1365,'014801,RICHARD MILBURN ACADEMY HOUSTON (SUBURBAN),RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,BELL,Y,Y
'014,'20,'09 - 12,'014801006,S,Not Rated: Senate Bill 1365,'014801,RICHARD MILBURN ACADEMY FORT WORTH,RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,BELL,Y,Y
'014,'20,'09 - 12,'014801007,S,Not Rated: Senate Bill 1365,'014801,RICHARD MILBURN ACADEMY CORPUS CHRISTI,RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,BELL,Y,Y
'014,'20,'09 - 12,'014801008,S,Not Rated: Senate Bill 1365,'014801,RICHARD MILBURN ACADEMY AMARILLO,RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,BELL,Y,Y
'014,'20,'09 - 12,'014801009,S,C,'014801,RICHARD MILBURN ACADEMY PASADENA,RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,BELL,Y,Y
'014,'20,'09 - 12,'014801010,S,C,'014801,RICHARD MILBURN ACADEMY MIDLAND SOUTH,RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,BELL,Y,Y
'014,'12,'PK - 08,'014803002,E,C,'014803,GEORGETOWN CHARTER ACADEMY,PRIORITY CHARTER SCHOOLS,BELL,Y,N
'014,'12,'PK - 12,'014803003,B,B,'014803,COVE CHARTER ACADEMY,PRIORITY CHARTER SCHOOLS,BELL,Y,N
'014,'12,'PK - 12,'014803004,B,B,'014803,CEDAR PARK CHARTER ACADEMY,PRIORITY CHARTER SCHOOLS,BELL,Y,N
'014,'12,'PK - 12,'014803101,B,C,'014803,TEMPLE CHARTER ACADEMY,PRIORITY CHARTER SCHOOLS,BELL,Y,N
'014,'12,'02 - 11,'014804002,B,Not Rated,'014804,NEW HORIZONS,ORENDA CHARTER SCHOOL,BELL,Y,N
'014,'12,'06 - 12,'014804005,B,A,'014804,GATEWAY TECH H S,ORENDA CHARTER SCHOOL,BELL,Y,Y
'014,'12,'KG - 12,'014804006,B,A,'014804,GATEWAY COLLEGE PREPARATORY SCHOOL,ORENDA CHARTER SCHOOL,BELL,Y,N
'014,'12,'KG - 08,'014804007,E,C,'014804,NOLAN CREEK SCHOOL,ORENDA CHARTER SCHOOL,BELL,Y,N
'014,'12,'KG - 11,'014804008,B,B,'014804,KINGSLAND SCHOOL,ORENDA CHARTER SCHOOL,BELL,Y,N
'014,'12,'09 - 12,'014901001,S,B,'014901,ACADEMY H S,ACADEMY ISD,BELL,N,N
'014,'12,'06 - 08,'014901041,M,B,'014901,ACADEMY J H,ACADEMY ISD,BELL,N,N
'014,'12,'03 - 05,'014901101,E,B,'014901,ACADEMY INT,ACADEMY ISD,BELL,N,N
'014,'12,'PK - 02,'014901102,E,B,'014901,ACADEMY EL,ACADEMY ISD,BELL,N,N
'014,'13,'PK - 12,'014902001,B,B,'014902,BARTLETT SCHOOLS,BARTLETT ISD,BELL,N,N
'014,'12,'09 - 12,'014903001,S,B,'014903,BELTON H S,BELTON ISD,BELL,N,N
'014,'12,'09 - 11,'014903010,S,B,'014903,LAKE BELTON H S,BELTON ISD,BELL,N,N
'014,'12,'06 - 08,'014903043,M,B,'014903,LAKE BELTON MIDDLE,BELTON ISD,BELL,N,N
'014,'12,'06 - 08,'014903044,M,Not Rated: Senate Bill 1365,'014903,SOUTH BELTON MIDDLE,BELTON ISD,BELL,N,N
'014,'12,'06 - 08,'014903045,M,C,'014903,NORTH BELTON MIDDLE,BELTON ISD,BELL,N,N
'014,'12,'06 - 08,'014903046,M,C,'014903,BELTON MIDDLE,BELTON ISD,BELL,N,N
'014,'12,'KG - 05,'014903102,E,C,'014903,LEON HEIGHTS EL,BELTON ISD,BELL,N,N
'014,'12,'KG - 05,'014903103,E,Not Rated: Senate Bill 1365,'014903,MILLER HEIGHTS EL,BELTON ISD,BELL,N,N
'014,'12,'KG - 05,'014903104,E,Not Rated: Senate Bill 1365,'014903,SOUTHWEST EL,BELTON ISD,BELL,N,N
'014,'12,'KG - 05,'014903108,E,A,'014903,LAKEWOOD EL,BELTON ISD,BELL,N,N
'014,'12,'KG - 05,'014903109,E,A,'014903,SPARTA EL,BELTON ISD,BELL,N,N
'014,'12,'KG - 05,'014903111,E,B,'014903,JOE M PIRTLE EL,BELTON ISD,BELL,N,N
'014,'12,'KG - 05,'014903116,E,C,'014903,TARVER EL,BELTON ISD,BELL,N,N
'014,'12,'KG - 05,'014903117,E,C,'014903,HIGH POINT EL,BELTON ISD,BELL,N,N
'014,'12,'KG - 05,'014903118,E,C,'014903,CHISHOLM TRAIL EL,BELTON ISD,BELL,N,N
'014,'12,'EE - PK,'014903119,E,B,'014903,BELTON EARLY CHILDHOOD SCHOOL,BELTON ISD,BELL,N,N
'014,'12,'KG - 05,'014903120,E,B,'014903,CHARTER OAK EL,BELTON ISD,BELL,N,N
'014,'12,'09 - 12,'014905001,S,A,'014905,HOLLAND H S,HOLLAND ISD,BELL,N,N
'014,'12,'06 - 08,'014905041,M,A,'014905,HOLLAND MIDDLE,HOLLAND ISD,BELL,N,N
'014,'12,'EE - 05,'014905101,E,B,'014905,HOLLAND EL,HOLLAND ISD,BELL,N,N
'014,'12,'09 - 12,'014906001,S,C,'014906,KILLEEN H S,KILLEEN ISD,BELL,N,N
'014,'12,'09 - 12,'014906002,S,B,'014906,C E ELLISON H S,KILLEEN ISD,BELL,N,N
'014,'12,'09 - 12,'014906004,S,Not Rated,'014906,GATEWAY H S,KILLEEN ISD,BELL,N,N
'014,'12,'09 - 12,'014906006,S,B,'014906,PATHWAYS ACADEMIC CAMPUS,KILLEEN ISD,BELL,N,Y
'014,'12,'09 - 12,'014906007,S,B,'014906,HARKER HEIGHTS H S,KILLEEN ISD,BELL,N,N
'014,'12,'09 - 12,'014906008,S,C,'014906,ROBERT M SHOEMAKER H S,KILLEEN ISD,BELL,N,N
