School_Name,District_Name,Chronic_Absenteeism_Rate,Dropout_0708,Dropout_0912,SAT_Avg,ACT_Avg,Teacher_Student_Ratio,Meets_GL_STD
DAN CHADWICK CAMPUS,EAST TEXAS CHARTER SCHOOLS,9,.,1.2,-1,.,10.9,61
DAN D ROGERS EL,DALLAS ISD,5.3,.,.,.,.,15.1,49
DAN J KUBACAK EL,SANTA FE ISD,4.2,.,.,.,.,16.1,42
DAN POWELL EARLY LEARNING ACADEMY,EVERMAN ISD,3.4,.,.,.,.,15,.
DANBURY EL,DANBURY ISD,2.4,.,.,.,.,13.1,44
DANBURY H S,DANBURY ISD,6.3,.,0.7,1044,-1,10.1,55
DANBURY MIDDLE,DANBURY ISD,2.5,0,.,.,.,12.4,38
DANFORTH J H,WIMBERLEY ISD,1.5,0,.,.,.,14.7,55
DANIEL RAMIREZ EL,PHARR-SAN JUAN-ALAMO ISD,5.3,.,.,.,.,14.6,16
DANIEL SINGLETERRY SR,DONNA ISD,2.7,.,.,.,.,17.3,9
DANIEL WEBSTER EL,DALLAS ISD,7.9,.,.,.,.,14.4,19
DANIELS EL,KERRVILLE ISD,3.5,.,.,.,.,16.2,49
DANISH EL,CYPRESS-FAIRBANKS ISD,2.9,.,.,.,.,12.9,31
DANNY JONES MIDDLE,MANSFIELD ISD,1.2,0.6,.,.,.,16.6,57
DANVILLE MIDDLE,COMAL ISD,3.2,0.2,.,.,.,18.6,50
DARROUZETT SCHOOLS,DARROUZETT ISD,1.7,0,0,.,-1,8,20
DARTMOUTH EL,RICHARDSON ISD,2,.,.,.,.,12.1,35
DARWIN L GILMORE EL,CLEAR CREEK ISD,1.1,.,.,.,.,15.5,52
DAUGHERTY EL,GARLAND ISD,3.2,.,.,.,.,16.2,23
DAVENPORT H S,COMAL ISD,.,.,1,-1,.,16.6,61
DAVID AND LYNDA OLSON EL,ALLEN ISD,1.7,.,.,.,.,12.8,58
DAVID BARKLEY/FRANCISCO RUIZ EL,SAN ANTONIO ISD,12.8,.,.,.,.,15.6,7
DAVID CROCKETT ACADEMY,SAN ANTONIO ISD,12.9,5,.,.,.,16,12
DAVID CROCKETT MIDDLE,FORT BEND ISD,3.8,0.1,.,.,.,16.9,36
DAVID DANIELS EL ACADEMY OF SCIENCE & MATH,GRAND PRAIRIE ISD,7.4,.,.,.,.,13.1,20
DAVID E SMITH EL,BIRDVILLE ISD,3.4,.,.,.,.,14.1,38
DAVID EL,CONROE ISD,0.9,.,.,.,.,16.8,79
DAVID G BURNET EL,DALLAS ISD,3.3,.,.,.,.,15.8,34
DAVID G SANCHEZ EL,LA FERIA ISD,3.8,.,.,.,.,14.1,34
DAVID K SELLARS EL,FORT WORTH ISD,4.8,.,.,.,.,14.7,17
DAVID L WALKER ELT,CROWLEY ISD,7.3,.,.,.,.,9.5,21
DAVID S CROCKETT EARLY CHILDHOOD CENTER,ENNIS ISD,.,.,.,.,.,14.8,.
DAVID W CARTER H S,DALLAS ISD,29.6,.,5.4,826,14.2,15.7,23
DAVID YBARRA FINE ARTS ACADEMY,EDCOUCH-ELSA ISD,.,.,.,.,.,13.4,6
DAVILA EL,HOUSTON ISD,1,.,.,.,.,17,33
DAVINCI,BROOKESMITH ISD,.,.,.,.,.,8,.
DAVINCI SCHOOL FOR SCIENCE AND THE ARTS,BURNHAM WOOD CHARTER SCHOOL DISTRICT,5.5,0,0,956,-1,18.1,32
DAVIS EL,PLANO ISD,4,.,.,.,.,10.7,32
DAVIS EL,CARROLLTON-FARMERS BRANCH ISD,1.4,.,.,.,.,13,32
DAVIS EL,GARLAND ISD,2.7,.,.,.,.,15.8,30
DAVIS EL,IRVING ISD,4.1,.,.,.,.,15.7,12
DAVIS EL,ROYSE CITY ISD,4.6,.,.,.,.,12.6,43
DAVIS EL,AUSTIN ISD,3.2,.,.,.,.,12.7,31
DAVIS H S ALDINE,ALDINE ISD,18.9,.,7.3,843,-1,16.6,31
DAVIS INT,WYLIE ISD,1.7,.,.,.,.,15.2,57
DAVIS MIDDLE,SAN ANTONIO ISD,29.2,7.2,.,.,.,15.8,16
DAWSON EL,DAWSON ISD,4.5,.,.,.,.,14.4,40
DAWSON EL,CORPUS CHRISTI ISD,3.7,.,.,.,.,14.8,34
DAWSON EL,AUSTIN ISD,6.4,.,.,.,.,9.1,16
DAWSON H S,DAWSON ISD,6.5,0,0,.,20.6,11.6,34
DAWSON SCHOOL,DAWSON ISD,6.1,0,0,962,.,12.5,30
DAY NURSERY OF ABILENE,ABILENE ISD,.,.,.,.,.,17.7,.
DAYTON H S,DAYTON ISD,12,.,1.3,930,-1,15.1,51
DE CHAUMES EL,HOUSTON ISD,0.6,.,.,.,.,15.8,25
DE LA VINA ELEM,EDINBURG CISD,6.2,.,.,.,.,15.9,37
DE LEON EL,DE LEON ISD,1.5,.,.,.,.,13,50
DE LEON H S,DE LEON ISD,6.8,.,0,-1,19.6,10.7,61
DE LEON MIDDLE,MCALLEN ISD,6.1,0,.,.,.,12.8,2
DE SANTIAGO EC/PK/K,ALDINE ISD,.,.,.,.,.,16.7,.
DE ZAVALA EL,SAN ANTONIO ISD,10.7,.,.,.,.,13.2,23
DE ZAVALA EL,CHANNELVIEW ISD,4.8,.,.,.,.,14.5,31
DE ZAVALA EL,GOOSE CREEK CISD,6.1,.,.,.,.,16.7,35
DE ZAVALA EL,HOUSTON ISD,5.2,.,.,.,.,15,27
DE ZAVALA EL,MIDLAND ISD,7.6,.,.,.,.,19.3,24
DE ZAVALA EL,FORT WORTH ISD,1.7,.,.,.,.,12.1,25
DE ZAVALA MIDDLE,PASADENA ISD,6.3,.,.,.,.,10.5,17
DEADY MIDDLE,HOUSTON ISD,11.4,5.5,.,.,.,16.9,0
DEAN AND MILDRED BENNETT EL,MCKINNEY ISD,2.3,.,.,.,.,14.1,62
DEAN HIGHLAND EL,WACO ISD,5.3,.,.,.,.,16.4,14
DEAN LEAMAN J H SCHOOL,LAMAR CISD,2.3,2.2,.,.,.,18.1,57
DEAN MIDDLE,CYPRESS-FAIRBANKS ISD,9.1,1.2,.,.,.,14,33
DEANDA EL,HOUSTON ISD,2.5,.,.,.,.,15.5,42
DEANNA DAVENPORT EL,CANUTILLO ISD,3.9,.,.,.,.,12.6,32
DEARING EL,PFLUGERVILLE ISD,2.1,.,.,.,.,14.7,42
DEBAKEY H S FOR HEALTH PROF,HOUSTON ISD,2.6,.,0,1317,30.6,17,87
DECATUR H S,DECATUR ISD,8.3,.,0.8,965,22.3,15.7,63
DECKER EL,MANOR ISD,2.1,.,.,.,.,14.4,14
DECKER MIDDLE,MANOR ISD,10.1,0.4,.,.,.,12.1,20
DECKER PRAIRIE EL,TOMBALL ISD,2.3,.,.,.,.,13.8,31
DEEP WOOD EL,ROUND ROCK ISD,3,.,.,.,.,10.8,42
DEEPWATER EL,DEER PARK ISD,4.9,.,.,.,.,13.4,26
DEEPWATER J H,DEER PARK ISD,5.6,0,.,.,.,13.2,40
DEER CREEK EL,CROWLEY ISD,2.8,.,.,.,.,15.1,38
DEER CREEK EL,LEANDER ISD,1.4,.,.,.,.,14.6,45
DEER PARK EL,DEER PARK ISD,4.1,.,.,.,.,16.1,53
DEER PARK H S,DEER PARK ISD,11.7,-1,2.1,1085,21.4,15.4,69
DEER PARK J H,DEER PARK ISD,2.5,0.6,.,.,.,16.5,57
DEERPARK MIDDLE,ROUND ROCK ISD,7.5,0.3,.,.,.,11.5,28
DEERWOOD EL,HUMBLE ISD,0.4,.,.,.,.,15.4,49
DEGAN EL,LEWISVILLE ISD,4.7,.,.,.,.,11.4,31
DEKALB EL,DEKALB ISD,4.1,.,.,.,.,12.6,43
DEKALB H S,DEKALB ISD,8.3,.,0.4,-1,17.2,10.6,43
DEKALB MIDDLE,DEKALB ISD,7,0,.,.,.,9.6,35
DEL CASTILLO EL,BROWNSVILLE ISD,7.9,.,.,.,.,13.3,12
DEL NORTE HEIGHTS EL,YSLETA ISD,3.7,.,.,.,.,15.2,15
DEL RIO EARLY COLLEGE H S,SAN FELIPE-DEL RIO CISD,2.6,.,0.2,1042,-1,28.8,80
DEL RIO H S,SAN FELIPE-DEL RIO CISD,13.3,.,2.1,1007,23.7,14.5,44
DEL RIO MIDDLE 7TH GRADE CAMPUS,SAN FELIPE-DEL RIO CISD,7.9,1.3,.,.,.,17.5,26
DEL RIO MIDDLE 8TH GRADE CAMPUS,SAN FELIPE-DEL RIO CISD,9.8,0.6,.,.,.,17.2,31
DEL VALLE EL,YSLETA ISD,3.3,.,.,.,.,14.6,14
DEL VALLE EL,DEL VALLE ISD,3.8,.,.,.,.,15.2,22
DEL VALLE H S,YSLETA ISD,6.8,.,1.2,918,-1,15.5,39
DEL VALLE H S,DEL VALLE ISD,21.8,.,0.5,881,15.4,16.5,.
DEL VALLE MIDDLE,YSLETA ISD,2.9,0.6,.,.,.,15.5,5
DEL VALLE MIDDLE,DEL VALLE ISD,8.3,0.3,.,.,.,13.4,-1
DEL VALLE OPPORTUNITY CTR,DEL VALLE ISD,62.2,.,8.5,-1,-1,5.1,14
DELAY MIDDLE,LEWISVILLE ISD,5.1,0.6,.,.,.,12.4,21
DELIA GONZALEZ GARCIA EL,ROMA ISD,4.6,.,.,.,.,13.9,.
DELL CITY SCHOOL,DELL CITY ISD,5.5,0,11.8,.,.,7.6,43
DELLA ICENHOWER INT,MANSFIELD ISD,2.5,.,.,.,.,13.2,38
DELLVIEW EL,NORTH EAST ISD,5.3,.,.,.,.,13.2,31
DELMAS F MORTON EL,GRAND PRAIRIE ISD,10.7,.,.,.,.,13.4,29
DELORAS E THOMPSON EL,SPRING ISD,2.8,.,.,.,.,13.3,18
DELTA ACADEMY,EL PASO ISD,31.3,.,0,.,.,2,.
DENA KELSO GRAVES EL,EAGLE PASS ISD,6,.,.,.,.,14.6,22
DENISON H S,DENISON ISD,15.5,.,1.4,1156,20.9,13.4,65
DENTON CLASSICAL ACADEMY,TEXAS COLLEGE PREPARATORY ACADEMIES,3.5,.,.,.,.,11.3,50
DENTON CO J J A E P,DENTON ISD,0,-1,0,.,.,.,.
DENTON CO J J A E P,LEWISVILLE ISD,7.6,0,0,.,.,3.1,.
DENTON CO J J A E P,KRUM ISD,-1,.,-1,.,.,.,.
DENTON CO J J A E P,NORTHWEST ISD,10,.,-1,.,.,.,.
DENTON CREEK EL,COPPELL ISD,0.6,.,.,.,.,14.7,61
DENTON H S,DENTON ISD,6.4,.,0.2,956,22.2,13.2,50
DENVER CITY H S,DENVER CITY ISD,6,.,1.4,967,17.4,12.6,55
DEPELCHIN-RICHMOND,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,.,.,.,.,.,6.2,.
DEPORT EL,PRAIRILAND ISD,4.2,.,.,.,.,9.8,39
DEQUEEN EL,PORT ARTHUR ISD,13.3,.,.,.,.,9.2,9
DERETCHIN EL,CONROE ISD,0.9,.,.,.,.,15.1,74
DERRY EL,POINT ISABEL ISD,2.7,.,.,.,.,15.1,21
DESERT HILLS EL,CLINT ISD,2.5,.,.,.,.,14.7,24
DESERT WIND EL,SOCORRO ISD,3.8,0.3,.,.,.,13.5,-1
DESERTAIRE EL,YSLETA ISD,4.1,.,.,.,.,14.6,26
DESOTO ALTERNATIVE EDUCATION CENTER (DAEP),DESOTO ISD,18.2,0,0,.,-1,8.1,.
DESOTO H S,DESOTO ISD,11.2,.,0.9,887,17.8,19.2,24
DESOTO WEST MIDDLE,DESOTO ISD,6.4,0.3,.,.,.,18,14
DESSAU EL,PFLUGERVILLE ISD,4.5,.,.,.,.,13,12
DESSAU MIDDLE,PFLUGERVILLE ISD,8.9,1.8,.,.,.,12.1,21
DETENT CTR,FORT WORTH ISD,0,8.2,15.1,.,.,16.8,.
DETROIT EL,DETROIT ISD,3.5,.,.,.,.,13.9,34
DETROIT H S,DETROIT ISD,10.6,.,0.7,.,16.9,6.8,64
DETROIT J H,DETROIT ISD,1.7,0,.,.,.,11.3,44
DEVELOPMENTAL CTR,MEXIA ISD,.,.,.,.,.,1.1,.
DEVERS EL,DEVERS ISD,0.9,.,.,.,.,18.8,82
DEVERS JH,DEVERS ISD,0,0,.,.,.,13.8,75
DEVINE DAEP SCHOOL,DEVINE ISD,26.1,0,0,.,.,15.2,.
DEVINE H S,DEVINE ISD,8.8,.,0.5,1008,-1,12.6,56
DEVINE INTERMEDIATE SCHOOL,DEVINE ISD,1.9,.,.,.,.,14.9,42
DEVINE MIDDLE,DEVINE ISD,4.6,0,.,.,.,17.3,38
DEVONIAN EL,ANDREWS ISD,2.5,.,.,.,.,14.2,40
DEW EL,DEW ISD,2.8,0,.,.,.,7,48
DEWEYVILLE EL,DEWEYVILLE ISD,2.4,.,.,.,.,12.7,40
DEWEYVILLE H S,DEWEYVILLE ISD,7.4,1.2,1.8,961,-1,8.9,35
DEZAVALA EL,SAN MARCOS CISD,3.3,.,.,.,.,14.1,18
D'HANIS SCHOOL,D'HANIS ISD,3.7,0,0,1130,18.2,11.2,57
DIAMOND HILL EL,FORT WORTH ISD,4.3,.,.,.,.,13.7,19
DIAMOND HILL-JARVIS H S,FORT WORTH ISD,8.1,.,4.2,838,.,15.7,17
DIANE WINBORN EL,KATY ISD,4.2,.,.,.,.,11.9,44
DIAZ J H,HIDALGO ISD,6.3,1.3,.,.,.,12.4,7
DIAZ-VILLARREAL EL,LA JOYA ISD,3.2,.,.,.,.,13.1,.
DIBOLL H S,DIBOLL ISD,7.4,.,0.4,957,-1,13,55
DIBOLL J H,DIBOLL ISD,3.8,0,.,.,.,11.2,35
DIBOLL PRI,DIBOLL ISD,.,.,.,.,.,15,.
DICKINSON CONTINUATION CENTER,DICKINSON ISD,31.9,7.7,7.8,.,.,10.7,21
DICKINSON H S,DICKINSON ISD,9.8,.,1.2,972,19.2,16.1,52
DIGITAL ARTS & TECHNOLOGY ACADEMY AT ADAMS MIDDLE,GRAND PRAIRIE ISD,12.3,0.8,.,.,.,13.3,24
DILLEY EL,DILLEY ISD,6.5,.,.,.,.,15,27
DILLEY H S,DILLEY ISD,11,.,1.4,956,18.3,11.6,26
DILLINGHAM EL,SHERMAN ISD,.,.,.,.,.,13.4,.
DILLMAN EL,MULESHOE ISD,3.7,.,.,.,.,14.8,.
DIME BOX SCHOOL,DIME BOX ISD,4.3,0,4.8,795,.,11,35
DIMMITT H S,DIMMITT ISD,7.9,.,0.9,-1,16.2,10.6,50
DIMMITT MIDDLE,DIMMITT ISD,6.5,2.2,.,.,.,10.1,23
DISCIPLINARY ALTERNATIVE EDUCATION PROGRAM,CLEVELAND ISD,24.3,0,0,.,.,12.2,.
DISCIPLINARY ALTERNATIVE EDUCATIONAL PROGAM (DAEP),BRYAN ISD,29.6,0,0,.,.,7.1,.
DISCIPLINE ALTERNATIVE SCHOOL AT SAEGERT,SEGUIN ISD,49.8,0,0,.,.,5.1,.
DISCOVERY MIDDLE,SOUTHWEST SCHOOL,8,0.5,.,.,.,15.2,12
DISHMAN EL,HARLINGEN CISD,3,.,.,.,.,14.9,19
DISHMAN EL,BEAUMONT ISD,4.6,.,.,.,.,17.6,22
DITTO EL,ARLINGTON ISD,2,.,.,.,.,15.8,54
DIVIDE EL,DIVIDE ISD,0,.,.,.,.,16.3,38
DIXIE EL,TYLER ISD,4.7,.,.,.,.,15.9,25
DOBIE H S,PASADENA ISD,12.2,.,2.4,932,24.8,15.8,49
DOBIE J H,SCHERTZ-CIBOLO-U CITY ISD,3.4,0.5,.,.,.,19.2,53
DOBIE MIDDLE,AUSTIN ISD,10.5,1.3,.,.,.,12.5,14
DOBIE PRE-KINDERGARTEN SCHOOL,RICHARDSON ISD,.,.,.,.,.,10.4,.
DODD CITY SCHOOL,DODD CITY ISD,1.6,0,0,-1,20.1,11.9,57
DODD EL,WYLIE ISD,2.3,.,.,.,.,14.6,52
DODSON PRI,DENVER CITY ISD,5.5,.,.,.,.,14.7,.
DOERRE INT,KLEIN ISD,3.8,1.3,.,.,.,16,58
DOGAN EL,HOUSTON ISD,10.2,.,.,.,.,14.1,15
DOGWOOD EL,NEW CANEY ISD,3.1,.,.,.,.,14,19
DOLORES HUERTA EL,FORT WORTH ISD,5.7,.,.,.,.,14.2,17
DOLORES MCCLATCHEY EL,MIDLOTHIAN ISD,0.8,.,.,.,.,15.4,61
DOLPHIN TERRACE EL,YSLETA ISD,2.3,.,.,.,.,15,6
DOMINGO TREVINO MIDDLE,LA JOYA ISD,7.6,2.4,.,.,.,11.5,.
DON CARTER EL,LAMAR CISD,0.8,.,.,.,.,15.6,59
DON HASKINS PK-8,EL PASO ISD,.,.,.,.,.,15.5,.
DON JETER EL,ALVIN ISD,0.9,.,.,.,.,14.2,42
DON JOSE GALLEGO,LAREDO ISD,5.4,.,.,.,.,15,19
DON R DANIEL NINTH GRADE CAMPUS,ALEDO ISD,2.3,.,0,-1,.,17.3,72
DON T DURHAM INT,CARROLL ISD,1.3,.,.,.,.,16.3,79
DON WHITT EL,WYLIE ISD,0.7,.,.,.,.,16,74
DONALD J STOCKTON JH,CONROE ISD,.,0.8,.,.,.,15.3,38
DONALD LEONETTI EL,FORT BEND ISD,0.9,.,.,.,.,15.8,67
DONNA EARLY COLLEGE H S,DONNA ISD,.,.,0,.,.,9.6,8
DONNA H S,DONNA ISD,18.9,.,0.7,-1,17.2,12.7,32
DONNA LEWIS EL,SPRING ISD,1.5,.,.,.,.,15.6,24
DONNA NORTH H S,DONNA ISD,19.1,.,1.3,-1,18.1,13.4,14
DONNA PARK,HURST-EULESS-BEDFORD ISD,2.6,.,.,.,.,14.3,39
DONNA SHEPARD ACADEMY,MANSFIELD ISD,2.9,.,.,.,.,13.6,53
DONNA WERNECKE EL,SHARYLAND ISD,2,.,.,.,.,14.5,41
DOOLEY EL,PLANO ISD,2.5,.,.,.,.,9.4,33
DORA M SAUCEDA MIDDLE,DONNA ISD,8.3,1.3,.,.,.,10.6,7
DORA ROMERO EL,LOS FRESNOS CISD,6,.,.,.,.,14.4,32
DORIE MILLER EL,SAN ANTONIO ISD,9.4,.,.,.,.,13.9,28
DORIE MILLER INT,ENNIS ISD,4.3,.,.,.,.,15.4,39
DORIS CULLINS-LAKE POINTE EL,ROCKWALL ISD,2.2,.,.,.,.,15.2,38
DOROTHY P ADKINS EL,DENTON ISD,0,.,.,.,.,11.5,51
DOROTHY SMITH PULLEN EL,ROCKWALL ISD,1.8,.,.,.,.,16.4,52
DOROTHY THOMPSON MIDDLE,PROGRESO ISD,4.2,1.2,.,.,.,10.6,15
DORRIS A JONES EL,ROCKWALL ISD,2.2,.,.,.,.,14.2,41
DOSS EL,DOSS CONSOLIDATED CSD,10.5,-1,.,.,.,8,38
DOSS EL,AUSTIN ISD,2,.,.,.,.,15.5,68
DOUBLE FILE TRAIL EL,ROUND ROCK ISD,4.9,.,.,.,.,12.3,40
DOUGLAS BENOLD MIDDLE,GEORGETOWN ISD,4,0,.,.,.,12.5,51
DOUGLAS EL,TYLER ISD,2.1,.,.,.,.,16.5,35
DOUGLASS ACADEMY,SAN ANTONIO ISD,12.5,4.8,.,.,.,9.2,13
DOUGLASS ECLC,SULPHUR SPRINGS ISD,.,.,.,.,.,11.2,.
DOUGLASS EL,EL PASO ISD,7,.,.,.,.,16.7,10
DOUGLASS SCHOOL,DOUGLASS ISD,3.4,0,0,1089,20.6,11.2,52
DOVALINA EL,LAREDO ISD,3.6,.,.,.,.,12.6,20
DOVE EL,GRAPEVINE-COLLEYVILLE ISD,1.7,.,.,.,.,12.6,42
DOVER EL,RICHARDSON ISD,3.8,.,.,.,.,11.6,24
DOWELL MIDDLE,MCKINNEY ISD,3.6,0,.,.,.,14.2,62
DOWLING EL,ECTOR COUNTY ISD,16.2,.,.,.,.,15.3,20
DOWNS FINE ARTS ACADEMY,SAN BENITO CISD,4.5,.,.,.,.,14.4,40
DOWNTOWN MONTESSORI AT IDA B WELLS ACADEMY,DALLAS ISD,.,.,.,.,.,15.3,.
DOZIER EL,EAGLE MT-SAGINAW ISD,2.2,.,.,.,.,16.2,40
DR ABRAHAM P CANO FRESHMAN ACADEMY,HARLINGEN CISD,9.7,.,1.2,.,.,14.6,44
DR AL DRAPER INTERMED,WYLIE ISD,1.3,.,.,.,.,16.3,63
DR ALEJO SALINAS JR EL,HIDALGO ISD,0.4,.,.,.,.,14.1,.
DR AMERICO PAREDES EL,LA JOYA ISD,2.5,.,.,.,.,13.9,.
DR BRUCE WOOD EL,TERRELL ISD,5.3,.,.,.,.,15.8,19
DR BRYAN C JACK EL,TYLER ISD,2.2,.,.,.,.,17.3,53
DR DON WOOLLEY MIDDLE,MESQUITE ISD,.,0.8,.,.,.,17.4,29
DR E T BOON EL,ALLEN ISD,1.2,.,.,.,.,16.1,67
DR FERMIN CALDERON EL,SAN FELIPE-DEL RIO CISD,6.4,.,.,.,.,16.2,25
DR FREDERICK HAYNES III GLOBAL PREP AT PAUL QUINN,DALLAS ISD,.,.,.,.,.,8.7,.
DR HESIQUIO RODRIGUEZ EL,HARLINGEN CISD,7.2,.,.,.,.,16.7,27
DR JACK COCKRILL MIDDLE,MCKINNEY ISD,3.3,0.1,.,.,.,16.1,65
DR JAVIER SAENZ MIDDLE,LA JOYA ISD,7.5,4.1,.,.,.,11.8,26
DR JOSEPH A FOWLER EL,KILLEEN ISD,5.6,.,.,.,.,16,39
DR JOSEPH TORRES EL,EL PASO ISD,.,.,.,.,.,26.9,23
DR KAY TEER CRAWFORD EL,EDINBURG CISD,3.9,.,.,.,.,15.2,30
DR KIRK LEWIS CAREER AND TECHNICAL H S,PASADENA ISD,4.5,.,0.3,940,-1,15.6,64
DR LEO CIGARROA H S,LAREDO ISD,9.3,.,3.3,831,13.9,13,29
DR LINDA HENRIE EL,MESQUITE ISD,3.3,.,.,.,.,14.9,34
DR LONNIE GREEN JR EL,SAN FELIPE-DEL RIO CISD,3.7,.,.,.,.,17.2,34
DR LYNN ARMSTRONG EL,FORT BEND ISD,3,.,.,.,.,11.3,20
DR M L GARZA-GONZALEZ CHARTER SCHOOL,DR M L GARZA-GONZALEZ CHARTER SCHOOL,4.8,0,.,.,.,11.5,12
DR MAE E JONES-CLARK EL,BEAUMONT ISD,12.9,.,.,.,.,15.6,7
DR MALAKOFF EL,UNITED ISD,3.5,.,.,.,.,15.5,31
DR MARIA PALMIRA MENDIOLA EL,LA JOYA ISD,2.4,.,.,.,.,14.4,.
DR MARIO E RAMIREZ EL,RIO GRANDE CITY GRULLA ISD,4.2,.,.,.,.,12.5,12
DR MARTIN LUTHER KING JR ARTS ACADEMY,DALLAS ISD,4.1,.,.,.,.,13.6,33
DR PABLO PEREZ,MCALLEN ISD,2.8,.,.,.,.,15.1,38
DR R E MARGO EL,WESLACO ISD,4.9,.,.,.,.,15.2,13
DR RONALD E MCNAIR JH,ALVIN ISD,1.3,0,.,.,.,16.5,50
DR SARAH JANDRUCKO ACADEMY FOR EARLY LEARNERS,MANSFIELD ISD,.,.,.,.,.,35.7,.
DR SHIRLEY J WILLIAMSON EL,GALENA PARK ISD,3.3,.,.,.,.,14.5,27
DR SUE A SHOOK SCHOOL,SOCORRO ISD,1.5,.,.,.,.,18.8,57
DR T C MCCORMICK JR MIDDLE,HAYS CISD,6.1,1.2,.,.,.,15.6,31
DR TERRY ROBBINS MIDDLE,PINEYWOODS COMMUNITY ACADEMY,2,0,.,.,.,14.6,45
DR THOMAS E RANDLE H S,LAMAR CISD,.,.,.,.,.,15.5,.
DR THOMAS ESPARZA EL,EDINBURG CISD,1.9,.,.,.,.,14.9,37
DR TOMAS RIVERA EL,CRYSTAL CITY ISD,7,.,.,.,.,16.7,.
DR WILLIAM LONG EL,PHARR-SAN JUAN-ALAMO ISD,6.6,.,.,.,.,18.2,16
DR WRIGHT L LASSITER JR EARLY COLLEGE H S,DALLAS ISD,1.2,.,0,1099,20.5,18.6,99
DRAW ACADEMY,DRAW ACADEMY,0.4,0,.,.,.,22.6,18
DRC CAMPUS,ACADEMY FOR ACADEMIC EXCELLENCE,28.1,50,40.9,.,.,5.6,.
DREW ACADEMY,ALDINE ISD,10.5,2.4,.,.,.,10.8,20
DREW EL,CROSBY ISD,5.1,.,.,.,.,13.2,31
DRIGGERS EL,NORTHSIDE ISD,5.9,.,.,.,.,12.8,16
DRIPPING SPRINGS EL,DRIPPING SPRINGS ISD,1.6,.,.,.,.,13.3,53
DRIPPING SPRINGS H S,DRIPPING SPRINGS ISD,8.6,.,0.8,1169,23.5,15.7,73
DRIPPING SPRINGS MIDDLE,DRIPPING SPRINGS ISD,3.9,0.6,.,.,.,14.5,54
DRISCOLL EL & MIDDLE,DRISCOLL ISD,0.7,0,.,.,.,11.7,44
DRISCOLL MIDDLE,NORTH EAST ISD,4.3,0,.,.,.,13.6,26
DRISCOLL MIDDLE,CORPUS CHRISTI ISD,20.3,4.5,.,.,.,15.1,17
DRS REED - MOCK EL,PHARR-SAN JUAN-ALAMO ISD,1.4,.,.,.,.,15.7,28
DUBLIN EL,DUBLIN ISD,1.2,.,.,.,.,12.9,72
DUBLIN H S,DUBLIN ISD,7.5,0,0.3,985,17.7,11.5,55
DUBLIN INT,DUBLIN ISD,1.6,.,.,.,.,11.3,49
DUBOSE EL,ALICE ISD,.,.,.,.,.,15.2,.
DUDLEY EL,VICTORIA ISD,8.2,.,.,.,.,16.9,16
DUEITT MIDDLE,SPRING ISD,8.4,2,.,.,.,15.8,17
DUFF EL,ARLINGTON ISD,3.8,.,.,.,.,15.9,51
DULLES EL,FORT BEND ISD,2.5,.,.,.,.,14.7,33
DULLES H S,FORT BEND ISD,5.7,.,1.3,1128,27,16.6,58
DULLES MIDDLE,FORT BEND ISD,3.3,1.6,.,.,.,17.5,41
DUMAS H S,DUMAS ISD,7.8,.,0,.,18.2,13.4,62
DUMAS INT,DUMAS ISD,4.2,.,.,.,.,13.7,38
DUMAS J H,DUMAS ISD,4.5,0.3,.,.,.,14.6,39
DUNAWAY EL,WAXAHACHIE ISD,3.7,.,.,.,.,11.5,44
DUNBAR COLLEGE PREPARATORY ACADEMY,LUBBOCK ISD,16.2,2.5,.,.,.,9.7,18
DUNBAR H S,FORT WORTH ISD,13.1,.,6.5,836,-1,15.7,42
DUNBAR MIDDLE,DICKINSON ISD,7.5,.,.,.,.,13.4,24
DUNBAR PRI,LUFKIN ISD,4.8,.,.,.,.,14.1,.
DUNCANVILLE H S,DUNCANVILLE ISD,16.4,.,0.3,926,18.5,17.9,35
DUNN EL,ALDINE ISD,5.7,.,.,.,.,17.5,18
DUNN EL,ARLINGTON ISD,3.8,.,.,.,.,14,20
DUPRE EL,LUBBOCK ISD,10,.,.,.,.,11.6,28
DURHAM EL,HOUSTON ISD,3.3,.,.,.,.,17.2,26
DURKEE EL,HOUSTON ISD,6.7,.,.,.,.,16.5,23
DURYEA EL,CYPRESS-FAIRBANKS ISD,3.6,.,.,.,.,13.7,31
DWIGHT D EISENHOWER EL,GRAND PRAIRIE ISD,2.5,.,.,.,.,17.1,20
DWIGHT MIDDLE,SOUTH SAN ANTONIO ISD,15.8,3.2,.,.,.,12.1,21
DYER EL,KRUM ISD,3.1,.,.,.,.,11.2,38
DYESS EL,ABILENE ISD,3.1,.,.,.,.,16.2,51
E A JONES EL,FORT BEND ISD,2.4,.,.,.,.,11.5,17
E A LAWHON EL,PEARLAND ISD,0.9,.,.,.,.,13.9,41
E B COMSTOCK MIDDLE,DALLAS ISD,14.3,6,.,.,.,14.4,19
E B REYNA EL,LA JOYA ISD,1.5,.,.,.,.,13.4,.
E C BRICE EL,MOUNT PLEASANT ISD,3.2,.,.,.,.,12.5,47
E C MASON EL,ALVIN ISD,3.4,.,.,.,.,14.4,36
E F GREEN JUNIOR SCHOOL,GOOSE CREEK CISD,.,.,.,.,.,16.2,.
E H GILBERT EL,HARLANDALE ISD,8.4,.,.,.,.,15.1,13
